Score,Lona,Dirección,Año construcción,Lat,Lng,Link Google Maps,Tipo techo,Descripción del daño,Folio,Estado,Contactado (sí/no),Daño confirmado (sí/no/no visible),Notas del setter
9,SÍ (azul),"3420 SW 87 CT, Unincorporated County, FL 33165",1970,25.737945963189524,-80.3367795100976,"https://maps.google.com/?q=25.737945963189524,-80.3367795100976",tile,"Blue tarp material is clearly draped over the roof surface of the center house, with visible wrinkles and folds indicating physical evidence of a tarp. The material hangs over the roofline, confirming it is not a permanent roof feature. No signs of deterioration or alternative explanations like pool water or painted metal roofs are present. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3040160070720,revisar,,,
7,SÍ (azul),"520 NW 44 ST, Miami, FL 33127",1924,25.815894202028197,-80.20413761544815,"https://maps.google.com/?q=25.815894202028197,-80.20413761544815",flat,"The aerial view shows a blue tarp covering the entire flat roof of the house, while the street view reveals the tarp is smooth and tightly draped with its edges hanging slightly over the sides.",0131240030961,confirmado,,,
9,SÍ (azul),"10409 SW 22 ST, Unincorporated County, FL 33165",1992,25.748620888818156,-80.36370858913527,"https://maps.google.com/?q=25.748620888818156,-80.36370858913527",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or sandbags. The roof appears to be in fair condition with no visible missing tiles. tarp covering part of the roof",3040080460600,confirmado,,,
9,SÍ (azul),"454 E 16 ST, Hialeah, FL 33010",1948,25.836293597459882,-80.27264813116571,"https://maps.google.com/?q=25.836293597459882,-80.27264813116571",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or sandbag weights. The discoloration appears to be ambiguous, suggesting possible aging or deterioration. visible patches at roof edge",0431170120040,confirmado,,,
7,SÍ (azul),"4806 E 9 LN, Hialeah, FL 33013",1944,25.86612772613083,-80.26394863434749,"https://maps.google.com/?q=25.86612772613083,-80.26394863434749",flat,"The aerial view shows a blue tarp covering nearly the entire flat roof, while the street view reveals it is tightly draped with smooth edges, creating a taut appearance.",0431050010530,confirmado,,,
9,SÍ,"3400 NW 102 ST, Unincorporated County, FL 33147",1950,25.86692313743897,-80.25395298969825,"https://maps.google.com/?q=25.86692313743897,-80.25395298969825",flat,"Flat roof with exposed substrate and multiple large patches >20% coverage, indicating significant deterioration. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3031040050800,revisar,,,
9,SÍ (azul),"7871 SW 16 ST, Unincorporated County, FL 33155",1958,25.755526169642007,-80.32322441233664,"https://maps.google.com/?q=25.755526169642007,-80.32322441233664",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The roof shows signs of possible deterioration, making it ambiguous. visible patches at roof edge",3040100190260,confirmado,,,
5,SÍ (azul),"13985 SW 154 ST, Unincorporated County, FL 33177",2000,25.624406034299255,-80.4202205399887,"https://maps.google.com/?q=25.624406034299255,-80.4202205399887",tile,"Blue material is visible on the roof of the center house, but there is no strong physical evidence of a tarp, such as wrinkles or folds. The roof shows some discoloration, suggesting possible deterioration. no damage visible",3059270301630,revisar,,,
7,SÍ (azul),"118 E 45 ST, Hialeah, FL 33013",1941,25.86301894655696,-80.28034959467244,"https://maps.google.com/?q=25.86301894655696,-80.28034959467244",flat,"The blue tarp covers a significant portion of the rear slope of the flat roof, appearing slightly wrinkled and draped loosely with hanging edges visible from the street.",0431060450220,confirmado,,,
9,SÍ (azul),"5770 SW 50 TER, Unincorporated County, FL 33155",1947,25.724160117431374,-80.28740562181228,"https://maps.google.com/?q=25.724160117431374,-80.28740562181228",tile,"The blue material is located on the center section of the roof, covering approximately half of the roof area. The edges of the material are not clearly visible, and there are no apparent wrinkles or weights observed. visible patches at roof edge",3040240200100,revisar,,,
9,SÍ (azul),"16981 SW 139 PL, Unincorporated County, FL 33177",1994,25.610008749540935,-80.41845750608951,"https://maps.google.com/?q=25.610008749540935,-80.41845750608951",tile,"Bluish discoloration on the roof of the center house suggests the presence of a tarp, but there is no clear physical evidence such as wrinkles or sandbags. The roof appears to be in fair condition with no visible missing tiles. visible patches at roof edge",3059340080270,confirmado,,,
7,SÍ (azul),"11120 SW 2 ST, Sweetwater, FL 33174",1956,25.766261361066473,-80.37612768350712,"https://maps.google.com/?q=25.766261361066473,-80.37612768350712",tile,"The aerial view shows a blue tarp covering nearly all of the rear slope of the tile roof, while the street view reveals the tarp is smooth and tightly draped with its edges hanging slightly over the sides.",2540060011142,confirmado,,,
9,SÍ (azul),"14519 SW 171 TER, Unincorporated County, FL 33177",1993,25.608224197015648,-80.42802198044213,"https://maps.google.com/?q=25.608224197015648,-80.42802198044213",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The roof appears to be in fair condition with no visible missing tiles. tarp visible on roof",3059340040520,confirmado,,,
