Dirección,Año,Lat,Lng,Link Google Maps,ZIP,Folio
"101 W 18 ST, Hialeah, FL 33010",1976,25.83829744,-80.28410592,"https://maps.google.com/?q=25.83829744,-80.28410592",33010,0431070130350
"1801 BRIGHT DR, Hialeah, FL 33010",1959,25.83830885,-80.28285322,"https://maps.google.com/?q=25.83830885,-80.28285322",33010,0431070130490
"109 W 18 ST, Hialeah, FL 33010",1955,25.83829113,-80.28426432,"https://maps.google.com/?q=25.83829113,-80.28426432",33010,0431070130360
"5998 W 13 AVE, Hialeah, FL 33012",1960,25.87683395,-80.31002132,"https://maps.google.com/?q=25.87683395,-80.31002132",33012,0420350100160
"5925 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71115337,-80.38201024,"https://maps.google.com/?q=25.71115337,-80.38201024",33183,3040300010770
"1537 SW 1 ST, Miami, FL 33135",1925,25.77256421,-80.22041633,"https://maps.google.com/?q=25.77256421,-80.22041633",33135,0141020061050
"1344 NW 68 TER, Miami, FL 33147",1938,25.8368547,-80.2198855,"https://maps.google.com/?q=25.8368547,-80.2198855",33147,0131140160770
"360 E 52 ST, Hialeah, FL 33013",1957,25.86957786,-80.27554542,"https://maps.google.com/?q=25.86957786,-80.27554542",33013,0421310190340
"352 E 52 ST, Hialeah, FL 33013",1957,25.86957316,-80.27569628,"https://maps.google.com/?q=25.86957316,-80.27569628",33013,0421310190320
"5958 W 13 AVE, Hialeah, FL 33012",1960,25.87622192,-80.30999097,"https://maps.google.com/?q=25.87622192,-80.30999097",33012,0420350100130
"1319 NW 68 ST, Miami, FL 33147",1948,25.83656579,-80.21939326,"https://maps.google.com/?q=25.83656579,-80.21939326",33147,0131140160850
"5745 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71322278,-80.38212076,"https://maps.google.com/?q=25.71322278,-80.38212076",33183,3040300010180
"1320 NW 68 TER, Miami, FL 33147",1958,25.8368732,-80.21940517,"https://maps.google.com/?q=25.8368732,-80.21940517",33147,0131140160800
"1563 SW 2 ST, Miami, FL 33135",1925,25.77162851,-80.22085764,"https://maps.google.com/?q=25.77162851,-80.22085764",33135,0141020061560
"393 E 51 ST, Hialeah, FL 33013",1959,25.86917962,-80.27512738,"https://maps.google.com/?q=25.86917962,-80.27512738",33013,0421310190410
"5958 W 13 CT, Hialeah, FL 33012",1960,25.87622022,-80.31076001,"https://maps.google.com/?q=25.87622022,-80.31076001",33012,0420350100210
"1331 NW 68 ST, Miami, FL 33147",1950,25.83656128,-80.2195473,"https://maps.google.com/?q=25.83656128,-80.2195473",33147,0131140160860
"6820 NW 13 AVE, Miami, FL 33147",1952,25.83688254,-80.21908694,"https://maps.google.com/?q=25.83688254,-80.21908694",33147,0131140160820
"134 W 19 ST, Hialeah, FL 33010",1958,25.83865217,-80.28473672,"https://maps.google.com/?q=25.83865217,-80.28473672",33010,0431070130340
"1351 NW 55 TER, Miami, FL 33142",1950,25.82629422,-80.21937385,"https://maps.google.com/?q=25.82629422,-80.21937385",33142,0131140410960
"5984 W 13 CT, Hialeah, FL 33012",1960,25.87662792,-80.31077849,"https://maps.google.com/?q=25.87662792,-80.31077849",33012,0420350100230
"1341 NW 56 ST, Miami, FL 33142",1941,25.82702361,-80.21924777,"https://maps.google.com/?q=25.82702361,-80.21924777",33142,0131140411001
"3674 NW 12 TER, Miami, FL 33125",1947,25.78386681,-80.25559134,"https://maps.google.com/?q=25.78386681,-80.25559134",33125,0131330040640
"3654 NW 12 TER, Miami, FL 33125",1947,25.78388173,-80.25518435,"https://maps.google.com/?q=25.78388173,-80.25518435",33125,0131330040620
"190 SW 13 AVE, Miami, FL 33135",1970,25.77175528,-80.21670021,"https://maps.google.com/?q=25.77175528,-80.21670021",33135,0141020061650
"5905 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71135556,-80.38202099,"https://maps.google.com/?q=25.71135556,-80.38202099",33183,3040300010780
"3614 NW 12 TER, Miami, FL 33125",1947,25.78390471,-80.25441787,"https://maps.google.com/?q=25.78390471,-80.25441787",33125,0131330040580
"3600 NW 12 TER, Miami, FL 33125",1947,25.78390721,-80.25421243,"https://maps.google.com/?q=25.78390721,-80.25421243",33125,0131330040570
"5182 E 4 AVE, Hialeah, FL 33013",1939,25.86971433,-80.27504725,"https://maps.google.com/?q=25.86971433,-80.27504725",33013,0421310190370
"1321 NW 56 ST, Miami, FL 33142",1949,25.82703401,-80.21894035,"https://maps.google.com/?q=25.82703401,-80.21894035",33142,0131140410990
"131 W 18 ST, Hialeah, FL 33010",1958,25.8382798,-80.28463782,"https://maps.google.com/?q=25.8382798,-80.28463782",33010,0431070130380
"3575 NW 12 ST, Miami, FL 33125",1947,25.78365141,-80.25382565,"https://maps.google.com/?q=25.78365141,-80.25382565",33125,0131330040650
"374 E 52 ST, Hialeah, FL 33013",1942,25.86958543,-80.27530277,"https://maps.google.com/?q=25.86958543,-80.27530277",33013,0421310190360
"5970 W 13 AVE, Hialeah, FL 33012",1960,25.87642197,-80.31000007,"https://maps.google.com/?q=25.87642197,-80.31000007",33012,0420350100140
"125 SW 17 AVE, Miami, FL 33135",1930,25.77172495,-80.22254968,"https://maps.google.com/?q=25.77172495,-80.22254968",33135,0141020061330
"117 W 18 ST, Hialeah, FL 33010",1957,25.83828767,-80.28441777,"https://maps.google.com/?q=25.83828767,-80.28441777",33010,0431070130370
"5971 W 14 AVE, Hialeah, FL 33012",1960,25.87641774,-80.31108339,"https://maps.google.com/?q=25.87641774,-80.31108339",33012,0420350100190
"5701 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71387152,-80.38215388,"https://maps.google.com/?q=25.71387152,-80.38215388",33183,3040300010210
"359 E 51 ST, Hialeah, FL 33013",1959,25.86922326,-80.27553284,"https://maps.google.com/?q=25.86922326,-80.27553284",33013,0421310190440
"5625 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71429992,-80.382176,"https://maps.google.com/?q=25.71429992,-80.382176",33183,3040300010230
